,gene_name,DNase,H3K4me1,H3K4me3,H3K27ac,H3K27me3,H3K36me3,gene_exp
0,SLC20A1,0.0001,3.91118,0.0001,9.15347,0.0001,6.815884826022017,0.0
1,C11orf58,107.92828901848374,5.03746,11.10716644649934,38.66391,0.0001,5.809357194224705,2239.10332840048
2,ZSCAN9,59.33021976211656,3.68068,16.078698811096434,12.19131,0.0001,7.252351053825302,19.798063595609
3,CD19,45.3273862475701,8.93117,18.344005944517832,23.85014,0.0001,4.631935608784644,411.53062289513394
4,TMEM123,60.153915851207536,3.24668,10.8778071334214,16.96506,0.0001,7.46979587320905,34.214129320567004
5,POMC,12.379542683931335,6.63813,10.06425033025099,0.0001,50.94404432132964,0.0001,0.480535524165267
6,NME2,61.80130802938947,4.3546,0.0001,0.0001,0.0001,4.823850749571279,0.0
7,CEP120,159.82114263121477,0.0001,11.786542272126818,21.88036,0.0001,6.925914145046191,2.1143563063271698
8,FBXO4,52.74065104938881,4.18197,14.217024438573317,35.11707,0.0001,0.0001,37.5778779897238
9,GRIA1,0.0001,0.0001,0.0001,0.0001,35.672668513388736,0.0001,0.0
10,GALNT9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
11,AKAIN1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
12,SYCE1L,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
13,GOLGA8S,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
14,CAST,0.0001,4.49005,9.06032034346103,9.15347,0.0001,11.5856889970681,248.24465178377704
15,FBXW12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
16,DIRAS2,0.0001,0.0001,3.629887714663144,0.0001,40.190120036934445,0.0001,0.0
17,WDR7,0.0001,0.0001,0.0001,0.0001,0.0001,5.8774409470598,0.0
18,MMP1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
19,SREBF2,0.0001,5.73276,0.0001,7.17906,0.0001,12.121023953089562,0.0
20,SLC38A3,0.0001,0.0001,0.0001,0.0001,53.79224376731303,0.0001,0.0
21,PCDHGA11,12.379542683931335,0.0001,11.407612285336857,0.0001,0.0001,0.0001,10.956209950968098
22,ZNF707,32.97194491120556,4.3546,17.22178005284016,11.75734,0.0001,9.55766996736184,29.697095393413505
23,ACTR6,102.98611248393792,0.0001,13.34712681638045,17.21159,0.0001,5.809357194224705,0.0
24,POLR3K,112.04676946393856,0.0001,17.700330250990753,18.53473,0.0001,8.108867621839908,0.0
25,POLR2F,136.75765213666764,3.94966,16.150313738441216,6.85121,33.19298245614035,9.360236764949937,176.45264447348598
26,CSDC2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
27,POGLUT3,0.0001,0.0001,0.0001,0.0001,0.0001,6.5799496597886815,0.0
28,ASB16,0.0001,4.32231,0.0001,0.0001,0.0001,6.925914145046191,0.0
29,GRIK2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
30,LY6G6E,0.0001,0.0001,0.0001,0.0001,26.637580794090493,0.0001,0.0
31,ADAM2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
32,OR6M1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
33,MCF2L2,0.0001,3.13591,7.982282034346103,0.0001,48.50563250230841,0.0001,0.0
34,C3orf18,133.46286778030378,4.2313,11.42815389696169,25.21063,0.0001,0.0001,3.07542735465771
35,CLEC4E,11.555846594840368,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
36,TXN,0.0001,0.0001,0.0001,0.0001,0.0001,9.366985672401396,0.0
37,CD109,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
38,CNTNAP3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
39,MAD1L1,60.9776119402985,0.0001,13.587202774108322,19.98644,0.0001,13.091801737013885,0.0
40,CYP51A1,65.91978847484431,4.32231,14.532694848084544,43.90631,0.0001,6.487290479614981,189.763478492864
41,ALK,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
42,CABP4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
43,MYF5,0.0001,0.0001,0.0001,0.0001,50.81920590951063,0.0001,0.0
44,NUP42,0.0001,0.0001,0.0001,0.0001,0.0001,6.487290479614981,0.0
45,APEH,197.71116272939932,5.64343,16.208074636723907,17.42624,0.0001,9.095438955578912,177.990358150815
46,TMEM41B,118.63633817666631,2.5758,20.195194848084544,21.08901,0.0001,0.0001,56.6070847466684
47,SEC61A2,57.68282758393463,0.0001,15.23693857331572,17.83301,0.0001,9.631769652044031,10.956209950968098
48,PDE2A,0.0001,0.0001,0.0001,0.0001,43.93065558633426,0.0001,0.0
49,SI,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
50,KIF3B,68.39087674211723,4.69162,17.552179656538968,17.19349,0.0001,9.55766996736184,5.86253339481625
51,ARHGDIB,45.3273862475701,2.60745,0.0001,0.0001,0.0001,15.260137190905573,35.7518429978958
52,RGS11,8.261062238476493,0.0001,0.0001,0.0001,26.637580794090493,0.0001,0.0
53,NQO2,0.0001,4.18197,15.11580250990753,4.16986,0.0001,0.0001,0.0
54,APBB1,0.0001,0.0001,15.949141347424044,0.0001,42.44893813481072,0.0001,0.480535524165267
55,TBC1D3I,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
56,PBK,28.85346446575072,5.50525,17.689580581241746,23.47472,0.0001,6.925914145046191,50.74455135185221
57,VPS37A,80.74631807848176,3.44605,19.21730515191545,14.18043,0.0001,6.997095757039332,0.0
58,FAS,83.21740634575467,0.0001,16.330234478203433,0.0001,0.0001,7.831387951540631,5.38199787065099
59,GTF3C2,0.0001,0.0001,0.0001,0.0001,0.0001,10.079880511146762,0.480535524165267
60,P4HA1,126.87329906757604,5.54742,16.964481505944516,21.08901,0.0001,9.75136914311003,110.427063453178
61,ZNF680,53.56434713847978,0.0001,7.229210700132101,21.10306,0.0001,0.0001,1.05717815316359
62,NT5DC1,33.795641000296534,0.0001,0.0001,0.0001,0.0001,6.925914145046191,0.480535524165267
63,GPR6,5.789973971203585,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
64,CNNM2,227.36422193667423,7.53823,16.078269484808455,11.77678,0.0001,6.137854732533054,9.80292469297144
65,LRP4,18.14541530756812,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
66,RAET1L,0.0001,0.0001,0.0001,0.0001,37.12650046168052,0.0001,0.0
67,RGL4,0.0001,0.0001,0.0001,0.0001,0.0001,7.420658848260221,0.0
68,NUP43,92.27806332575533,4.61336,15.010485468956407,14.69322,0.0001,7.677836477291586,74.5791133504494
69,PSMC5,106.2808968403018,3.97659,11.996664464993394,29.9407,0.0001,8.337777286054102,322.439336714894
70,HSPA12B,0.0001,0.0001,0.0001,0.0001,31.697783933518007,0.0001,0.0
71,CSTF2T,60.9776119402985,4.36472,18.507942536327608,34.21392,0.0001,0.0001,62.9021001132334
72,SPPL2C,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
73,CLPSL1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
